,index,Unnamed: 0,sample_id,date,group,sample_type,qaqc_type,Au,As,Sb,Ag,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hg,K,Mn,Mo,Ni,P,Pb,Rb,S,Se,Sn,Sr,Ti,U,V,Zn,Zr,Nb,Pd,Pt,Rh,Y,La,Ce,Pr,Nd,Sm,comments
43,45,45,TE2-020,2021-10-13,group 1,soil,sample,1.1,8.6835956322905,1.8381993642143506,<9.758418805395854,520.9760211343837,<4.26929417764139,14535.247244753486,<nan,697.0,<30.441780568272534,<61.11209177967383,33.074970541611364,32900.74997167662,-6.9,13726.522042787214,1129.1248445662347,<2.4797694423678664,40.93646252473897,1025.3450034965003,39.824048088353514,66.41001175843432,<1888.1967632959377,<nan,<5.342780803987754,408.5244335218787,3295.810065668982,<4.808030478491732,87.89319107044707,117.83437505485551,<1868.0650950673244,26.595232958133195,2.9,10.4,1.6,24.558381412534434,49.433068221783245,87.78082191780821,1.9096699441264975,21.884486212301972,-9.384937822970496,
44,46,46,TE2-W09,2021-10-13,group 1,sediment,sample,2.9,9.871518320663233,<1.7869220549759781,<9.758418805395854,543.476957682542,<4.26929417764139,23061.522784551486,<nan,599.0,<30.441780568272534,78.461011965873,21.305708631813673,32983.6650726783,-13.0,10440.01857942154,2040.1616419161326,10.472942388218922,28.270085910785813,1359.1117426891778,31.900277520197783,73.38612598733121,2002.6259671004027,<nan,6.292040662903734,642.0318465122117,3416.247229970338,7.025066180370807,157.80017719068053,181.81431547274676,5035.5451862038335,66.23349039799699,1.1,11.5,0.9,125.2817557339274,105.98416783623617,78.73972602739725,3.493017968685639,26.514648393322105,-2.5436749458243035,
45,47,47,TE2-W06,2021-10-13,group 1,sediment,sample,1.8,4.1694894164741125,2.377056653042689,<9.758418805395854,627.0518648614157,<4.26929417764139,17852.730227549462,<nan,402.0,<30.441780568272534,<61.11209177967383,14.071391678084813,27859.850259758092,-4.8,14637.560135205493,1185.2503238309148,7.767063987885402,50.43624498520383,1238.1239253355075,16.05273638388632,53.05573594883169,<1888.1967632959377,<nan,<5.342780803987754,447.0852907129429,4061.1196413560797,<4.808030478491732,56.11728828852276,108.02355850322607,8054.784188301321,16.766673211463974,2.3,9.2,0.8,35.40551403176137,32.265770124538605,92.98630136986301,9.826410066922207,27.987881814555784,1.8098559759959993,
46,48,48,GR1-021,2021-10-13,group 1,soil,sample,2.3,5.951373449033213,1.8381993642143506,<9.758418805395854,568.1208405686201,<4.26929417764139,15610.554159910142,<nan,319.0,<30.441780568272534,<61.11209177967383,16.770763675744835,25691.366546826375,-9.9,14057.58893578802,1020.8828488414944,7.350775003218708,47.269650831715545,1096.551375168192,26.80642501209767,64.11785994036819,<1888.1967632959377,<nan,<5.342780803987754,455.6543700887349,3883.512937038257,<4.808030478491732,76.77162509677356,85.38321261485041,5895.036580961512,46.792383206783136,2.3,13.8,0.4,36.73373435248304,62.56100206085267,80.10958904109589,3.277106874427574,30.09250098774676,-1.9217419569928325,
47,50,50,oreas24b,2021-10-14,group 2,standard,standard,1.5,7.2,<1.7869220549759781,31.0,670.0,22.8,10335.0,<nan,1043.0,<30.441780568272534,159.0,31.4,42662.0,0.5,<2772.1587834927814,446.0,4.7,12.0,724.0,20.7,163.1,2602.0,<nan,6.0,116.2,4948.0,<4.808030478491732,123.0,96.3,<1868.0650950673244,23.0,-0.3,13.6,0.4,44.1,<20.559599300125416,70.0,<-5.108256281669303,86.0,11.0,
48,51,51,oreas22d,2021-10-14,group 2,standard,standard,-0.1,<2.6244869705522516,2.4,<9.758418805395854,<13.02893554594495,<4.26929417764139,<1432.6020872593424,<nan,-490.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,-2.3,<2772.1587834927814,<95.17841694569336,<2.4797694423678664,2.9,1155.0,<7.28235335780706,<2.401769717040935,<1888.1967632959377,<nan,<5.342780803987754,<5.793869495134919,<2040.0531359708095,<4.808030478491732,<28.595683828969484,<34.1266135646,<1868.0650950673244,<6.528570679765783,1.0,-1.6,0.0,<10.34278054504528,<20.559599300125416,11.0,18.0,43.0,10.0,
49,52,52,oreas24c,2021-10-14,group 2,standard,standard,1.8,2.8,<1.7869220549759781,72.0,280.0,5.8,81165.0,<nan,2408.0,30.7,234.0,49.0,83035.0,1.5,11032.0,1074.0,<2.4797694423678664,33.0,<644.9313652728606,<7.28235335780706,20.8,<1888.1967632959377,<nan,7.0,404.0,12064.0,<4.808030478491732,131.0,97.8,<1868.0650950673244,26.4,0.5,15.6,0.1,29.1,<20.559599300125416,29.0,<-5.108256281669303,37.0,-10.0,
50,53,53,oreas45e,2021-10-14,group 2,standard,standard,4.7,7.0,<1.7869220549759781,89.0,254.0,37.0,<1432.6020872593424,<nan,,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,-0.5,7985.0,598.0,4.7,<-87.9928841881601,<644.9313652728606,27.0,20.7,3695.0,<nan,<5.342780803987754,16.2,9472.0,13.0,249.0,57.0,<1868.0650950673244,24.0,4.4,8.8,1.2,25.4,<20.559599300125416,-35.0,<-5.108256281669303,40.0,3.0,
51,54,54,GR1-023,2021-10-14,group 2,soil,sample,4.8,22.938667892763302,<1.7869220549759781,<9.758418805395854,317.396119031999,<4.26929417764139,22430.109595951326,<nan,2293.0,57.975627966707336,<61.11209177967383,22.81735695050328,79339.97511229155,-25.3,6873.1957030040885,1327.5685033949253,2.6675239257183847,300.5971831107786,2476.9887634465276,61.61441715078179,59.334238754838886,4669.025859687337,<nan,<5.342780803987754,916.2423865375571,11688.298540086254,9.228014712231548,208.64162164175943,153.3042502799774,5432.2335222458405,148.21015905428206,3.7,15.2,1.3,52.67237820114302,84.77750548081632,67.23287671232876,-0.6092928222175922,24.83095305476933,17.3581806967828,
52,55,55,TE2-044,2021-10-14,group 2,soil,sample,5.2,32.442049399745166,<1.7869220549759781,<9.758418805395854,584.192938103019,<4.26929417764139,22939.19563548394,<nan,1693.0,41.23763337889936,<61.11209177967383,18.174437114528047,63205.3733153318,-25.1,10639.383679221295,1710.4244512361365,2.875668418051732,256.2648649619425,1682.5861154750323,119.72206798392382,72.9874908885371,<1888.1967632959377,<nan,<5.342780803987754,1337.1984108733411,14661.87688147606,7.759382357657719,237.23993414549128,170.91340819315846,5013.5069453126125,140.5417223288588,4.1,18.4,1.8,30.314002802328314,60.541319931765074,71.34246575342465,3.7808994276963923,28.61926756651308,-8.763004834139025,
53,56,56,GR1-008,2021-10-14,group 2,soil,sample,-0.3,37.1937401532361,<1.7869220549759781,<9.758418805395854,450.25879198302897,<4.26929417764139,14026.893703119482,<nan,810.0,<30.441780568272534,<61.11209177967383,32.64307102198576,38307.99905842909,-8.8,8088.718675116539,2962.2230869787363,<2.4797694423678664,69.43580990613356,1131.8394885630123,208.39283386566657,56.4441342885816,2573.1115255143513,<nan,<5.342780803987754,428.87599703938474,5350.10220359401,9.228014712231548,143.5010209388146,180.13725281434856,2677.4534108430234,56.296924500265455,6.6,11.1,2.1,23.230161091812764,42.36418076997663,82.57534246575341,1.9816403088791854,16.622938279324547,-2.5436749458243035,
54,57,57,TE2-033,2021-10-14,group 2,soil,sample,3.2,6.307750255545033,1.8381993642143506,<9.758418805395854,425.61490909695084,11.755653214672366,21388.49758413064,<nan,1722.0,31.673065043009075,<61.11209177967383,15.691014876680827,60332.111243885796,-12.5,7442.292442432483,2282.7038915956437,<2.4797694423678664,218.2657351200831,2339.407130865531,33.69255895823301,41.6946356331996,<1888.1967632959377,<nan,<5.342780803987754,1071.556950223788,9462.497782111828,5.311661766701343,181.63210427712377,206.1317240195206,2721.529892625469,65.4774473405609,2.9,11.2,1.8,47.580866971709966,68.62004844811548,56.54794520547944,-0.5373224574649038,22.726333881578363,4.297587931321887,
55,58,58,GR1-030F,2021-10-14,group 2,soil,field duplicate,3.9,30.0662040229997,2.9159139418710267,,455.0804212433486,,14626.44323313019,,1026.0,,,26.974389826899717,38894.75030888486,-29.35,8521.884664681464,2123.3476201119984,2.563451679551711,66.26921575264527,936.284526833382,174.43381714499913,94.41412744872042,2167.393535213748,,,703.08653706473,4138.489085511697,11.308577214544469,138.73463552152595,210.3243806655161,8341.281319887214,153.66446968292814,4.65,15.600000000000001,1.35,34.57537633131032,74.1741743031064,62.43835616438355,2.161566220760906,20.09555991508965,-5.653339889981664,
56,59,59,TE2-016,2021-10-14,group 2,soil,sample,0.5,9.871518320663233,<1.7869220549759781,<9.758418805395854,460.9735236726282,<4.26929417764139,15526.316901570211,<nan,531.0,<30.441780568272534,<61.11209177967383,19.146211033685653,32082.597903629416,-12.9,8204.712915000033,708.1837500811333,<2.4797694423678664,53.60283913869212,894.484916324041,30.579649092171827,58.337651007853616,<1888.1967632959377,<nan,<5.342780803987754,467.43685423044894,3212.723667511718,5.066889707605705,65.65005912310005,113.89327780761975,10060.264109402571,60.94118899594432,5.2,11.2,1.7,23.451531145266376,38.324816511801416,77.64383561643835,-2.0487001172713577,26.30418647600301,0.5659899983330554,
57,60,60,GR1-020,2021-10-14,group 2,soil,sample,1.0,7.139296137405946,2.9159139418710267,<9.758418805395854,503.83245043102494,<4.26929417764139,7877.573844304686,<nan,226.0,<30.441780568272534,<61.11209177967383,6.729099844449554,25167.64769458106,-3.4,9652.224366879474,205.05891810132158,9.848508911218879,75.76899821311014,<644.9313652728606,28.97602885814031,43.08985847897898,<1888.1967632959377,<nan,<5.342780803987754,350.6831477352824,3401.7642798328334,<4.808030478491732,32.28536120207954,<34.1266135646,4198.092032337378,22.70701151989043,3.6,9.3,1.0,<10.34278054504528,41.35433970543283,95.17808219178082,1.4058773908576794,18.938019369834613,-6.897205867644608,
58,61,61,GR1-016,2021-10-14,group 2,soil,sample,4.4,19.374899827645102,<1.7869220549759781,<9.758418805395854,400.9710262108727,<4.26929417764139,11181.871864925715,<nan,795.0,<30.441780568272534,<61.11209177967383,23.033306710316086,34831.4873235729,-26.1,11546.796951643215,3137.615209680862,11.097375865218966,53.60283913869212,1102.222679106645,121.6086800239609,100.29399515593352,<1888.1967632959377,<nan,<5.342780803987754,358.1810921891004,4176.983242456118,8.983242653135909,92.6595764877357,234.64178921228995,8010.707706518875,131.03718103537648,4.7,18.1,0.8,27.989617241065393,56.50195567358986,83.67123287671232,0.9020848375888616,18.096171700558227,-10.628803800633442,
59,62,62,TE2-022,2021-10-14,group 2,soil,sample,4.9,14.623209074154166,3.993628519527703,<9.758418805395854,526.3333869791833,<4.26929417764139,20096.371290985997,<nan,2374.0,44.82434650485821,<61.11209177967383,15.798989756587227,75698.4792478912,-21.6,14821.21768168769,1778.5768189146768,<2.4797694423678664,272.097835729384,3469.4669526758544,47.8421492585111,95.41071519570568,2032.7447698738097,<nan,<5.342780803987754,1045.8497120964116,12250.084553314731,<4.808030478491732,199.1088508071821,139.04921768359273,6423.954362350854,123.90877506526475,4.5,18.8,1.3,37.39784451284386,65.59052525448408,68.87671232876711,2.125581038384562,22.936795798897457,-9.384937822970496,
60,63,63,TE2-017,2021-10-14,group 2,soil,sample,-1.4,47.8850443485907,6.149057674841054,,204.35569970672745,,17202.638342534796,,183.0,,,46.57183052991148,19989.684244272008,-16.5,,1618.2183067298763,3.2919574027184275,-1.8125585473529204,977.4539924606726,166.17988946983692,34.519203854905655,3385.4333532559526,,,567.5879694350184,,32.297781281995405,,210.74364633011564,,68.12359804158723,13.149999999999999,-0.75,4.95,41.880588095279485,42.86910130224853,82.98630136986301,-1.4729371992498514,18.306633617877324,-18.091999666611102,
61,64,64,TE2-043,2021-10-14,group 2,soil,sample,2.6,9.871518320663233,<1.7869220549759781,<9.758418805395854,717.055611054049,<4.26929417764139,30718.323318701703,<nan,1896.0,<30.441780568272534,<61.11209177967383,29.295849744887335,60423.48706947949,-10.4,11728.037951461176,5476.84500617664,<2.4797694423678664,139.1008812828759,5795.961857205806,22.372886718010534,95.01208009691157,2638.664213903532,<nan,<5.342780803987754,1553.56766511209,9230.77057991175,5.6788198553448,205.464031363567,229.61060123709535,2501.1474837132437,64.3973858299379,3.5,14.9,1.3,37.28715948611706,55.492114609046055,68.05479452054793,3.996810521954457,26.9355722279603,-11.250736789464913,
62,65,65,GR1-019,2021-10-14,group 2,soil,sample,0.1,14.623209074154166,2.9159139418710267,<9.758418805395854,210.24880213600701,<4.26929417764139,2337.6922371318096,<nan,-194.0,<30.441780568272534,<61.11209177967383,21.19773375190727,11160.072060052187,-5.8,<2772.1587834927814,135.90430972162633,10.577014634385597,8.637202159158429,961.2802738213799,66.80260026088375,17.676870930854587,<1888.1967632959377,<nan,<5.342780803987754,64.04744261503859,3321.7269238097806,11.675735303187926,31.967602174260293,<34.1266135646,6886.757421066526,26.487226807070897,6.1,0.6,2.4,41.050450394828445,32.265770124538605,85.31506849315068,-1.616877928755228,17.88570978323913,-17.47006667777963,
63,66,66,GR1-017,2021-10-14,group 2,soil,sample,11.2,31.254126711372432,5.610200386012717,<9.758418805395854,198.46259727744788,<4.26929417764139,5656.640215725,<nan,1264.0,<30.441780568272534,<61.11209177967383,17.202663195370437,49126.727594230055,-60.7,16372.640640129428,1689.3773965118814,5.269330079885231,123.26791051543445,1127.6385226826765,104.34617985762162,176.83193412440227,<1888.1967632959377,<nan,<5.342780803987754,127.4586299958997,2764.514473782621,16.32640442600504,56.11728828852276,256.44360377146654,30776.21054715175,319.6159207901508,3.9,36.2,1.3,32.0849632299572,67.61020738357169,72.16438356164383,-1.7608186582606045,17.67524786592003,-10.006870811801967,
64,67,67,GR1-029,2021-10-14,group 2,soil,sample,8.3,46.69712166021797,5.610200386012717,<9.758418805395854,534.9051723308626,11.93315389429389,20040.701450691784,<nan,1250.0,<30.441780568272534,<61.11209177967383,13.639492158459209,49090.34647848442,-47.5,10740.878639119353,3219.798947175572,<2.4797694423678664,145.43406958985247,1154.7347526108424,114.06223186381258,82.85370958369128,<1888.1967632959377,<nan,<5.342780803987754,1292.210744150433,4808.89722477146,14.857772071431214,191.16487511170104,309.27107751100976,13123.579593282504,256.3243162676435,3.1,18.0,1.5,77.90856429485467,119.1121016753056,34.90410958904107,4.140751251459833,22.094948129621073,-1.2998089681613614,
65,68,68,GR1-W04,2021-10-14,group 2,sediment,sample,3.15,6.604730927638216,1.8381993642143506,,597.050616130538,,15734.71255372421,,234.5,,,18.012474794668442,25429.507120703718,-6.0,14096.253682415852,520.7647389651477,6.778377649302001,59.9360274456687,1038.47302187255,24.023672253042978,55.59703470364413,2030.9730755930204,,,438.5162113371508,4218.145311267974,5.189275737153524,71.21084210993682,86.3055970769694,10556.124529455077,29.94342364106447,1.05,13.6,0.8500000000000001,37.729899593024285,30.751008527722902,87.50684931506848,5.616143728889943,24.30479826147159,2.7427554592432073,
66,69,69,GR1-028,2021-10-14,group 2,soil,sample,0.1,12.2473636974087,3.993628519527703,<9.758418805395854,169.53282171553008,<4.26929417764139,2695.151211652551,<nan,105.0,<30.441780568272534,<61.11209177967383,10.292270881360784,15862.542788290379,-8.3,<2772.1587834927814,180.0029005724465,4.9571133413852095,22.570216434506897,772.8669540883203,63.68969039482257,22.659809665780937,<1888.1967632959377,<nan,<5.342780803987754,72.61652199083063,3436.828264376266,10.941419125901012,48.173312593041686,<34.1266135646,5850.9600991790685,44.41624788341255,7.6,5.1,3.0,31.86359317650359,46.40354502815184,80.93150684931506,-0.8252039164756569,21.042638543025586,-10.628803800633442,
67,70,70,GR1-034,2021-10-14,group 2,soil,sample,0.8,16.999054450899635,3.4547712306993645,<9.758418805395854,368.8268311420751,<4.26929417764139,16767.168341812292,<nan,1047.0,<30.441780568272534,<61.11209177967383,11.695944320143994,43195.759655232265,-5.5,6829.697863047777,414.52722464271733,<2.4797694423678664,142.26747543636418,1332.4356093490455,53.5963159806242,36.11374425008209,<1888.1967632959377,<nan,<5.342780803987754,685.9483783131459,7492.816563411171,6.168363973536076,113.31391329598651,74.81771786694178,3470.8300829270347,33.291614323995745,6.4,8.2,2.6,19.356185156374575,<20.559599300125416,90.52054794520548,0.9740552023415497,24.620491137450237,-10.006870811801967,
68,71,71,TE2-010F,2021-10-14,group 2,soil,field duplicate,8.0,21.75074520439057,<1.7869220549759781,<9.758418805395854,342.0400019180771,<4.26929417764139,31343.876524113,<nan,2370.0,56.38153324405894,<61.11209177967383,15.04316559724242,80224.12083215642,-31.1,8927.260367607634,1785.592503822762,16.300988173552657,294.263994803802,1675.6545217724783,45.29522300446105,69.39977499939013,2302.042300553686,<nan,<5.342780803987754,637.7473068243157,12859.89298015704,6.535522062179533,232.47354872820264,243.02710250428095,6974.910384631417,183.42016430059158,3.0,19.1,0.9,48.2449771320708,61.551160996308866,50.24657534246573,0.9020848375888616,13.46600951953809,-3.7875409234872492,
69,72,72,TE2-002,2021-10-14,group 2,soil,sample,0.0,15.8111317625269,2.377056653042689,<9.758418805395854,410.614284731512,<4.26929417764139,7769.896653209299,<nan,807.0,<30.441780568272534,<61.11209177967383,12.991642879020805,34229.08373262191,-11.3,8596.193474606827,1450.8441096369907,9.848508911218879,50.43624498520383,777.0679199686562,64.06701280282998,52.25846575124346,<1888.1967632959377,<nan,<5.342780803987754,354.9676874231784,3773.7474202066414,6.168363973536076,79.949215374966,201.10053604432602,3713.250732730483,53.70477687477028,4.1,10.9,1.8,19.688240236554986,41.35433970543283,74.08219178082192,0.5422330138254202,19.569405121791906,-8.14107184530755,
70,73,73,TE2-036,2021-10-14,group 2,soil,sample,1.15,44.91523762765887,4.53248580835604,,339.89705558015726,,14210.0181777715,,875.0,,,27.946163746057323,40457.86917725839,-9.149999999999999,6505.880610039689,373.9364762459397,4.020463125885145,147.01736666659662,1138.2459615305243,172.0755520949528,38.65504300489452,2236.489612164506,,,381.21049301154153,7915.10889899947,9.411593756553275,130.79065982604487,124.79418508720804,9652.556652914955,63.5333366214395,4.699999999999999,15.549999999999999,1.2999999999999998,26.60605440698033,27.216564801819594,84.9041095890411,0.6861737433307966,16.517707320664996,3.0537219536589433,
71,74,74,GR1-027,2021-10-14,group 2,soil,sample,2.0,<2.6244869705522516,<1.7869220549759781,<9.758418805395854,594.9076697926181,<4.26929417764139,11154.769442677216,<nan,477.0,<30.441780568272534,<61.11209177967383,16.338864156119232,29388.703193533984,-3.6,14695.557255147238,633.0156974945081,<2.4797694423678664,34.60327421776239,1020.0937961460808,18.599662637936373,66.50967053313283,<1888.1967632959377,<nan,<5.342780803987754,345.3274731254124,3362.1267320880834,<4.808030478491732,64.06126398400383,77.16560558869925,5035.5451862038335,15.90262400296558,1.4,10.2,0.5,21.12714558400346,25.19688267273199,89.15068493150685,6.011980735029728,29.88203907042766,6.163386897816303,
72,75,75,TE2-021,2021-10-14,group 2,soil,sample,-1.75,44.91523762765887,5.610200386012716,,288.46634347008114,,5138.397952459787,,95.0,,,60.824514677556394,17436.660598633513,-6.3,,341.8647738089795,,-50.89476792642138,906.1425966419729,257.4447469066306,33.72193365731744,,,,213.57787772260974,3012.249147187309,13.939876849822575,62.472468844907624,145.8413214501054,5443.252642691451,39.98799568985829,9.1,3.4499999999999997,3.45,41.65921804182587,46.908465560423735,91.06849315068493,-1.1490705578627542,19.14848128715371,-22.756497082847144,
73,81,81,oreas24b,2021-10-21,group 2,standard,standard,2.3,11.3,<1.7869220549759781,35.0,663.0,21.0,10301.0,<nan,1097.0,<30.441780568272534,158.0,33.0,42630.0,-1.4,<2772.1587834927814,462.0,3.8,7.0,<644.9313652728606,21.9,161.2,2350.0,<nan,6.0,116.5,5033.0,<4.808030478491732,119.0,96.2,<1868.0650950673244,20.8,0.4,12.2,0.4,45.7,25.0,79.0,<-5.108256281669303,78.0,15.0,
74,82,82,oreas22d,2021-10-21,group 2,standard,standard,0.6,<2.6244869705522516,<1.7869220549759781,<9.758418805395854,<13.02893554594495,<4.26929417764139,<1432.6020872593424,<nan,-457.0,<30.441780568272534,88.1,<5.988465004863517,<3728.128329156112,-4.0,<2772.1587834927814,<95.17841694569336,2.6,16.2,721.0,<7.28235335780706,<2.401769717040935,<1888.1967632959377,<nan,<5.342780803987754,<5.793869495134919,<2040.0531359708095,<4.808030478491732,<28.595683828969484,<34.1266135646,<1868.0650950673244,<6.528570679765783,0.1,-1.6,-0.1,<10.34278054504528,<20.559599300125416,-15.0,23.0,44.0,28.0,
75,83,83,oreas24c,2021-10-21,group 2,standard,standard,4.0,5.0,3.0,71.0,273.0,5.6,80560.0,<nan,2515.0,31.5,<61.11209177967383,49.0,83777.0,1.8,10900.0,1069.0,<2.4797694423678664,37.0,1966.0,<7.28235335780706,19.2,<1888.1967632959377,<nan,8.0,400.0,12203.0,<4.808030478491732,116.0,99.5,<1868.0650950673244,26.8,-1.9,17.1,0.0,31.3,<20.559599300125416,27.0,<-5.108256281669303,<6.358067233908441,3.0,
76,84,84,oreas45e,2021-10-21,group 2,standard,standard,5.2,15.0,<1.7869220549759781,86.0,262.0,38.0,<1432.6020872593424,<nan,,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,0.5,7700.0,599.0,2.6,<-87.9928841881601,<644.9313652728606,36.0,18.6,4399.0,<nan,<5.342780803987754,13.1,9532.0,14.4,254.0,50.0,<1868.0650950673244,22.2,5.5,9.8,1.5,23.6,<20.559599300125416,25.0,<-5.108256281669303,15.0,61.0,
77,85,85,TE2-023,2021-10-21,group 2,soil,sample,0.9,6.307750255545033,3.993628519527703,<9.758418805395854,606.6938746511772,<4.26929417764139,14941.783578480969,<nan,543.0,<30.441780568272534,<61.11209177967383,13.963416798178411,29317.633106961115,-5.2,13691.48211615574,2200.5201541009337,<2.4797694423678664,28.270085910785813,986.6961173974113,34.7301955802534,70.3963627463754,<1888.1967632959377,<nan,<5.342780803987754,376.3903858626585,3049.5999133314003,<4.808030478491732,65.65005912310005,97.96118255283689,3779.3654554041505,14.282531737031091,4.3,10.2,0.3,16.25700440802402,32.265770124538605,95.72602739726027,2.7733143211587565,27.987881814555784,2.4317889648274713,
78,86,86,GR1-W05,2021-10-21,group 2,sediment,sample,2.3,9.871518320663233,<1.7869220549759781,<9.758418805395854,417.0431237452715,<4.26929417764139,40911.764075731684,<nan,871.0,<30.441780568272534,<61.11209177967383,18.282411994434447,41391.0870997569,-6.7,11935.86096458577,2199.5179133997785,5.997835803051948,75.76899821311014,2758.4534774290246,21.240919493988287,54.65027634400812,<1888.1967632959377,<nan,<5.342780803987754,624.8936877606277,8878.606213410318,8.86085662358809,167.33294802525782,116.40887179521705,<1868.0650950673244,45.820327847222444,2.0,12.5,0.9,81.11843006993202,105.98416783623617,88.6027397260274,2.557403226900692,28.61926756651308,-3.7875409234872492,
79,87,87,GR1-033,2021-10-21,group 2,soil,sample,-1.0,58.5763485439453,6.149057674841054,<9.758418805395854,331.3252702284779,<4.26929417764139,11753.220225840014,<nan,1097.0,<30.441780568272534,<61.11209177967383,16.66278879583843,44932.74641397156,-6.9,5606.925250942608,336.352449952627,<2.4797694423678664,120.10131636194616,1287.275226135436,211.22275192572218,32.924663459729224,<1888.1967632959377,<nan,<5.342780803987754,1044.7785771744377,6628.4131183621985,18.039808839674507,92.6595764877357,106.5142021106677,2809.6828561903585,57.48499216195075,7.9,12.6,4.0,22.344680877998325,37.314975447257616,77.0958904109589,0.3982922843200437,23.147257716216558,-6.897205867644608,
80,88,88,TE2-040F,2021-10-21,group 2,soil,field duplicate,-0.25,17.593015795086,4.532485808356041,,442.75847980030954,,5721.10003080251,,319.0,,,12.235818719675999,24410.41284359632,-5.55,7219.970149322451,168.47713250916394,,64.68591867590112,1070.2953384160933,89.34761413932685,34.27005691815934,,,,382.8171953945025,5323.041954652882,8.126540446301178,63.266866414455734,,9641.537532469343,31.40150668040551,6.0,11.95,1.75,12.217000932495619,37.314975447257616,97.50684931506848,0.5422330138254202,14.93924294077177,-7.519138856476079,
81,89,89,GR1-024,2021-10-21,group 2,soil,sample,0.3,14.623209074154166,2.9159139418710267,<9.758418805395854,488.8318260655861,<4.26929417764139,7289.378031722401,<nan,621.0,<30.441780568272534,<61.11209177967383,13.423542398646408,31189.145386713342,-5.0,12013.19045784143,863.5310587601589,<2.4797694423678664,50.43624498520383,993.6277110999654,41.71066012839059,61.12809669941238,<1888.1967632959377,<nan,<5.342780803987754,304.62434609040014,3506.9562334631314,<4.808030478491732,51.350902871234126,83.95770935521193,4991.46870442139,14.174525585968793,5.5,9.9,2.2,<10.34278054504528,<20.559599300125416,83.12328767123287,1.6217884851157445,23.357719633535652,-15.604267711285218,
82,90,90,TE2-042,2021-10-21,group 2,soil,sample,1.6,27.690358646254236,2.377056653042689,<9.758418805395854,451.3302651519889,<4.26929417764139,24547.76102082727,<nan,1647.0,<30.441780568272534,<61.11209177967383,20.657859352375265,56754.9168863847,-13.4,5777.291790771489,2166.4439702616633,<2.4797694423678664,154.93385205031734,1678.17510130068,90.57391196535094,33.42295733322186,2977.0578215341666,<nan,<5.342780803987754,1517.149077764974,7992.859473421864,5.311661766701343,189.57607997260484,182.65284680194583,2765.606374407914,74.76597633191864,5.6,11.4,2.0,52.11895306750898,63.57084312539648,60.3835616438356,1.1179959318469264,22.094948129621073,-4.40947391231872,
83,91,91,GR1-018,2021-10-21,group 2,soil,sample,5.0,28.87828133462697,3.4547712306993645,<9.758418805395854,172.74724122240983,<4.26929417764139,10894.732688671349,<nan,1400.0,<30.441780568272534,<61.11209177967383,27.892176306104126,49852.657764224365,-27.0,5556.1777709935795,3566.574229775203,5.7896913107186005,164.43363451078218,1212.2879851714424,95.7620950754529,71.39295049336067,<1888.1967632959377,<nan,<5.342780803987754,309.9800207002702,4950.6776840122975,9.350400741779366,160.97776746887297,427.50399492808265,7195.292793543642,146.91408524153445,6.6,25.0,2.5,39.50086002065318,98.91528038442955,61.20547945205478,-1.616877928755228,14.518319106133577,5.541453908984831,
84,92,92,TE2-045,2021-10-21,group 2,soil,sample,2.8,24.126590581136035,2.377056653042689,<9.758418805395854,556.334635710061,<4.26929417764139,24587.31590735211,<nan,2553.0,77.50328831914997,<61.11209177967383,21.08975887200087,87302.36302583053,-16.2,8045.220835160229,1524.007680821306,<2.4797694423678664,357.59587787356776,3495.722989427953,60.29378872275583,38.20657851875116,2364.051600381289,<nan,<5.342780803987754,1127.255966166436,16447.853311590472,6.413136032631712,280.1374029010891,182.65284680194583,3228.4094331235865,99.71539722730974,2.9,17.1,2.7,34.40934879122011,72.6594127062907,78.46575342465752,2.9172550506641333,21.884486212301972,-2.5436749458243035,
85,93,93,GR1-022,2021-10-21,group 2,soil,sample,5.800000000000001,23.532629236949667,5.0713430971843785,,575.6211527513397,30.98489350700403,17100.45488567897,,1188.0,,64.47884918119622,29.94369902432574,47954.49420200731,-32.6,8346.080894858042,4364.8589482451625,6.622269280051991,50.43624498520383,1058.2175615101278,90.85690377135651,90.4776058481286,,,,752.3587434755343,5767.439845714214,13.327946702083478,205.464031363567,234.2225235476904,16054.6656318151,184.50022581121456,4.65,17.55,1.0,58.59402713102711,68.11512791584359,54.76712328767121,2.089595856008218,14.20262623015493,-12.494602767127857,
86,94,94,TE2-048,2021-10-21,group 2,soil,sample,0.9,11.059441009035966,<1.7869220549759781,<9.758418805395854,365.6124116351953,<4.26929417764139,10588.548567053174,<nan,928.0,<30.441780568272534,<61.11209177967383,18.60633663415365,38529.67004273971,-7.8,6700.4126165109665,367.42191168843215,2.7715961718850584,123.26791051543445,1118.6064460399546,57.18087885669465,51.85983065244936,2149.676592405861,<nan,<5.342780803987754,505.99771142151315,5766.296454913885,8.126540446301178,84.71560079225463,75.9078085949006,4484.5891639232705,34.80370043886793,4.6,9.4,1.2,20.90577553054985,30.246087995451003,86.68493150684931,0.254351554814667,20.62171470838739,-4.40947391231872,
