,index,Unnamed: 0,sample_id,date,group,sample_type,qaqc_type,Au,As,Sb,Ag,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hg,K,Mn,Mo,Ni,P,Pb,Rb,S,Se,Sn,Sr,Ti,U,V,Zn,Zr,Nb,Pd,Pt,Rh,Y,La,Ce,Pr,Nd,Sm,comments
11,11,11,oreas502b,2021-10-06,group 2,standard,standard,2.2,16.0,<1.7869220549759781,42.0,858.0,27.4,31089.0,<nan,1975.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,61070.0,1.0,<2772.1587834927814,612.0,<2.4797694423678664,-39.0,881.0,31.3,162.5,<1888.1967632959377,<nan,11.0,335.0,5088.0,<4.808030478491732,149.0,192.0,<1868.0650950673244,22.8,0.0,6.1,0.6,34.3,<20.559599300125416,73.0,<-5.108256281669303,97.0,4.0,
12,12,12,oreas504b,2021-10-06,group 2,standard,standard,2.3,13.0,<1.7869220549759781,32.0,654.0,21.0,34900.0,<nan,2752.0,33.5,125.0,<5.988465004863517,86832.0,3.9,<2772.1587834927814,624.0,<2.4797694423678664,-86.0,2393.0,24.2,101.2,<1888.1967632959377,<nan,<5.342780803987754,396.0,4558.0,<4.808030478491732,136.0,210.0,<1868.0650950673244,13.4,0.6,-3.2,0.4,29.0,<20.559599300125416,35.0,<-5.108256281669303,59.0,21.0,
13,13,13,oreas45d,2021-10-06,group 2,standard,standard,2.4,10.0,<1.7869220549759781,52.0,170.0,30.0,2065.0,<nan,,<30.441780568272534,<61.11209177967383,335.0,<3728.128329156112,-0.3,7514.0,584.0,2.9,-72.0,<644.9313652728606,20.2,40.1,3003.0,<nan,<5.342780803987754,29.5,12393.0,5.9,188.0,45.8,<1868.0650950673244,28.1,1.4,14.5,0.2,28.3,<20.559599300125416,55.0,0.0,27.0,-18.0,
14,14,14,oreas903,2021-10-06,group 2,standard,standard,2.9,43.0,7.0,11.0,163.0,29.2,6610.0,<nan,1106.0,<30.441780568272534,104.0,<5.988465004863517,41170.0,-0.1,<2772.1587834927814,728.0,5.0,1.0,2997.0,8.6,140.5,4346.0,<nan,<5.342780803987754,77.3,3167.0,6.2,68.0,71.0,<1868.0650950673244,16.0,0.7,2.2,-0.4,33.8,<20.559599300125416,60.0,<-5.108256281669303,20.0,9.0,
15,15,15,GR1-009,2021-10-06,group 2,soil,sample,1.2,14.0292477299678,<1.7869220549759781,<9.758418805395854,554.1916893721411,<4.26929417764139,9972.517834323782,<nan,808.0,<30.441780568272534,<61.11209177967383,18.49836175424725,35820.54602837867,-3.3,11909.278951279133,1071.9971246003995,11.929953834552355,63.10262159915698,925.5720638385258,35.10751798826082,71.39295049336067,<1888.1967632959377,<nan,<5.342780803987754,322.8336397639583,3887.3242397060217,<4.808030478491732,75.18282995767734,178.46019015595036,2963.9505424289164,16.118636305090178,2.6,9.3,0.6,14.818099060575545,48.42322715723944,87.78082191780821,1.7657292146211208,23.357719633535652,-11.872669778296384,
16,16,16,TE2-W10,2021-10-06,group 2,sediment,sample,2.9,18.18697713927237,3.993628519527703,<9.758418805395854,259.5365679081633,<4.26929417764139,17975.78987451562,<nan,921.0,<30.441780568272534,<61.11209177967383,55.42577068223635,38112.5563203537,-13.0,<2772.1587834927814,3276.926667141407,28.373368728886817,28.270085910785813,1402.591739550653,84.06510042722303,36.71169689827325,3999.3254215492243,<nan,<5.342780803987754,486.71728282598104,3639.589566301334,14.123455894144303,100.60355218321678,199.42347338592782,<1868.0650950673244,58.673059823636045,5.9,4.8,2.2,55.55018889603997,104.97432677169236,71.8904109589041,-0.8971742812283452,19.990328956430098,-1.9217419569928325,
17,17,17,GR1-013,2021-10-06,group 2,soil,sample,-0.6,21.75074520439057,<1.7869220549759781,<9.758418805395854,393.4707140281532,<4.26929417764139,18625.51551058098,<nan,1209.0,<30.441780568272534,<61.11209177967383,18.49836175424725,43981.76096982983,-3.6,6162.730983717685,2693.622579069195,<2.4797694423678664,107.43493974799301,1570.4203264700673,101.3276005935623,44.08644622596425,2135.5030381595516,<nan,<5.342780803987754,1094.050783585242,4984.979408022177,8.493698534944635,102.192347322313,204.4546613611224,2214.6503521273507,34.58768813674334,5.2,7.6,1.3,23.451531145266376,76.6987769644659,75.17808219178082,0.6861737433307967,21.042638543025586,9.894984830805136,
18,18,18,TE2-005,2021-10-06,group 2,soil,sample,10.1,22.938667892763302,3.4547712306993645,<9.758418805395854,621.6944990166161,9.684811952421262,9653.88124842927,<nan,1568.0,<30.441780568272534,<61.11209177967383,25.624703828069705,51630.2560010053,-62.5,14613.394668563096,20122.588372154703,25.87563482088665,<-87.9928841881601,1434.0989836531714,169.71728704490644,138.56296464016788,3515.652882893919,<nan,<5.342780803987754,301.41094132447813,5549.814463384865,14.368227953239938,176.8657188598351,318.49492213219986,25002.191433651446,329.44448053682004,3.9,29.4,1.4,44.59237125008622,83.76766441627252,71.8904109589041,-0.10550026894877429,30.302962905065854,-19.95779863310552,
19,19,19,TE2-018,2021-10-06,group 2,soil,sample,1.3,24.7205519253224,5.340771741598548,,249.89330938752403,,21277.157903542215,,560.0,,,58.988941719147576,28200.817460816026,-8.95,,2164.4394888593533,8.49556971105212,33.019977141018245,847.329074317272,86.56486138027216,44.68439887415541,2301.1564534132917,,,468.50798915242297,2328.5014485903703,15.347316189622491,60.88367370581142,256.024338106867,,33.291614323995745,8.05,2.75,2.75,52.451008147689414,62.56100206085267,83.94520547945206,-2.192640846776734,20.306021832408746,-11.561703283880648,
20,20,20,TE2-024,2021-10-06,group 2,soil,sample,1.5,6.664127062056853,<1.7869220549759781,<9.758418805395854,474.90267486910716,<4.26929417764139,8434.272247246823,<nan,624.0,<30.441780568272534,<61.11209177967383,12.343793599582398,33212.95070912172,-2.9,10913.661725612475,290.2493776994969,<2.4797694423678664,97.93515728752814,728.5467640507779,14.26045494585109,44.68439887415542,<1888.1967632959377,<nan,<5.342780803987754,303.5532111684262,3360.6022110209774,<4.808030478491732,51.350902871234126,40.01866770517918,7569.942888694424,16.118636305090178,3.0,8.7,0.9,11.60823328549819,<20.559599300125416,87.23287671232876,-0.2494409984541508,12.413699932942606,4.919520920153359,
